,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM_ASSET,CF_CUM_LIAB,COUPON,PRINCIPAL,GAP,CF_CUM
339,u206,2027,17677815.604999997,21439051.522078,133297272.30624998,184109677.85816503,4633868.605,13043947.0,-3761235.9170780033,-50812405.55191505
340,u206,2028,19203758.605,19831771.806902003,152501030.91124997,203941449.66506702,4633868.605,14569890.0,-628013.2019020021,-51440418.75381705
341,u206,2029,62030845.85,18250092.296398997,214531876.76124996,222191541.961466,3893353.85,58137492.0,43780753.553601004,-7659665.200216055
342,u206,2030,17986613.849999998,16706020.746311001,232518490.61124995,238897562.70777702,2961193.85,15025420.0,1280593.1036889963,-6379072.09652707
343,u206,2031,15607956.85,15078634.314076003,248126447.46124995,253976197.02185303,2209922.85,13398034.0,529322.5359239969,-5849749.560603082
344,u206,2032,14540021.15,13648523.99174,262666468.61124995,267624721.01359302,1540021.15,13000000.0,891497.1582600009,-4958252.402343065
345,u206,2033,12138444.15,12279023.459073,274804912.76124996,279903744.472666,850021.15,11288423.0,-140579.30907299928,-5098831.711416066
346,u206,2034,285600.0,10980388.352776999,275090512.76124996,290884132.825443,285600.0,0.0,-10694788.352776999,-15793620.06419307
347,u206,2035,285600.0,9755796.3062096,275376112.76124996,300639929.13165265,285600.0,0.0,-9470196.3062096,-25263816.370402694
348,u206,2036,285600.0,8608953.2184154,275661712.76124996,309248882.35006803,285600.0,0.0,-8323353.2184154,-33587169.58881807
349,u206,2037,6285600.0,7542273.8525698995,281947312.76124996,316791156.2026379,285600.0,6000000.0,-1256673.8525698995,-34843843.44138795
350,u206,2038,117600.00000000001,6558347.019947801,282064912.76124996,323349503.22258574,117600.00000000001,0.0,-6440747.019947801,-41284590.46133578
351,u206,2039,117600.00000000001,5658199.9060935,282182512.76124996,329007703.1286792,117600.00000000001,0.0,-5540599.9060935,-46825190.36742926
352,u206,2040,2517600.0,4842365.1517862,284700112.76124996,333850068.2804654,117600.00000000001,2400000.0,-2324765.1517862,-49149955.519215465
353,u207,2021,2270977.65,2131433.800411,2270977.65,2131433.800411,1270977.6500000001,1000000.0,139543.849589,139543.849589
354,u207,2022,1213477.6500000001,231354.3127531,3484455.3,2362788.1131641,1213477.6500000001,0.0,982123.3372469002,1121667.1868359
355,u207,2023,1213477.6500000001,727942.7970623799,4697932.95,3090730.9102264796,1213477.6500000001,0.0,485534.85293762025,1607202.0397735205
356,u207,2024,4273477.649999999,4887487.633556301,8971410.6,7978218.54378278,1213477.6500000001,3060000.0,-614009.9835563013,993192.0562172197
357,u207,2025,4262047.649999999,3141712.5798465996,13233458.25,11119931.12362938,1062047.6500000001,3200000.0,1120335.0701533998,2113527.12637062
358,u207,2026,7593997.649999999,5802205.9790824,20827455.9,16922137.10271178,988997.65,6605000.0,1791791.6709175995,3905318.7972882167
359,u207,2027,2428997.65,2827394.9737388003,23256453.549999997,19749532.076450583,988997.65,1440000.0,-398397.32373880036,3506921.4735494144
360,u207,2028,2149397.6500000004,2175609.5766991004,25405851.199999996,21925141.653149683,949397.65,1200000.0,-26211.926699100062,3480709.5468503125
361,u207,2029,6501030.6499999985,6108967.7910229005,31906881.849999994,28034109.444172584,907147.65,5593883.0,392062.858977098,3872772.4058274105
362,u207,2030,3825988.5,2570079.1062539998,35732870.349999994,30604188.550426584,625988.5,3200000.0,1255909.3937460002,5128681.79957341
