group,t_to,l_cflow_rp
u207,22,-744.12714839484
u207,23,-1097.3507276994
u207,24,-641.26974254986
u207,25,-360.63042629725
u207,26,-234.55542402221
u207,27,-204.94126603291
u207,28,-383.21279817856
u207,29,-203.363520621
u207,30,-179.60187414023
u207,31,-64.295761042792
u207,32,-58.405643487361
u207,33,-52.482017367041
u207,34,-46.578542115734
u207,35,-40.800730520848
u207,36,-35.235532365919
u207,37,-29.965802055004
u207,38,-25.075117619154
u207,39,-20.649671014841
u207,40,-16.732766652765
u207,41,-13.345644150131
u207,42,0
u207,43,0
u207,44,0
u207,45,0
u207,46,0
u207,47,0
u207,48,0
u207,49,0
u207,50,0
u207,51,0
u207,52,0
u207,53,0
u207,54,0
u207,55,0
u207,56,0
u207,57,0
u207,58,0
u207,59,0
u207,60,0
u210,0,0
u210,1,-22221.051376045
u210,2,-23853.346915647
u210,3,-25023.406115547
u210,4,-24920.454505191
u210,5,-26104.409195676
u210,6,-25670.825142981
u210,7,-24856.539786238
u210,8,-23940.426634647
u210,9,-24274.1373658
u210,10,-23232.209027418
u210,11,-22670.832008205
u210,12,-22096.499136035
u210,13,-21198.650058073
u210,14,-20144.020952313
u210,15,-19301.7280089
u210,16,-18519.229035317
u210,17,-17902.378419133
u210,18,-17157.909216954
u210,19,-16452.602402988
u210,20,-15727.458709009
u210,21,-14807.098908889
u210,22,-14070.203455955
u210,23,-13326.148752719
u210,24,-12576.183170978
u210,25,-11822.491389719
u210,26,-11067.668380863
u210,27,-10314.535064298
u210,28,-9566.2049389534
u210,29,-8826.0286330039
u210,30,-8097.4029513256
u210,31,-7383.7596343105
u210,32,-6688.6606353697
u210,33,-6015.8308451721
u210,34,-5369.1826010846
u210,35,-4752.3101441413
u210,36,-4168.5519145288
u210,37,-3621.5583722061
u210,38,-3113.9822402308
u210,39,-2647.8535295816
u210,40,-2224.8625466024
u210,41,-1846.156419625
u210,42,-1511.3104541035
u210,43,-1218.7163847088
u210,44,-967.16109691069
u210,45,-755.74748257444
u210,46,-580.95963230732
u210,47,-438.47631726352
u210,48,-324.84707461849
u210,49,-235.89760353733
u210,50,-167.69781553809
u210,51,0
u210,52,0
u210,53,0
u210,54,0
u210,55,0
u210,56,0
u210,57,0
u210,58,0
u210,59,0
u210,60,0
u213,0,0
u213,1,-1
u213,2,0
u213,3,0
u213,4,0
u213,5,0
u213,6,0
u213,7,0
u213,8,0
u213,9,0
u213,10,0
u213,11,0
u213,12,0
u213,13,0
u213,14,0
u213,15,0
u213,16,0
u213,17,0
u213,18,0
u213,19,0
u213,20,0
u213,21,0
u213,22,0
u213,23,0
u213,24,0
u213,25,0
u213,26,0
u213,27,0
u213,28,0
u213,29,0
u213,30,0
u213,31,0
u213,32,0
u213,33,0
u213,34,0
u213,35,0
u213,36,0
u213,37,0
u213,38,0
u213,39,0
u213,40,0
u213,41,0
u213,42,0
u213,43,0
u213,44,0
u213,45,0
u213,46,0
u213,47,0
u213,48,0
u213,49,0
u213,50,0
u213,51,0
u213,52,0
u213,53,0
u213,54,0
u213,55,0
u213,56,0
u213,57,0
u213,58,0
u213,59,0
u213,60,0
u215,0,0
u215,1,-49722.852906455
u215,2,-45355.110420451
u215,3,-48686.02609996
u215,4,-48607.656889626
u215,5,-48047.789034007
u215,6,-41867.92136089
u215,7,-49576.095831495
u215,8,-42586.716624183
u215,9,-38210.245806868
u215,10,-36642.568967162
u215,11,-36970.430491187
u215,12,-33940.617914702
u215,13,-31751.323430623
u215,14,-30281.429674752
u215,15,-28753.146510291
u215,16,-27175.295647148
u215,17,-25558.140976756
u215,18,-23912.446640457
u215,19,-22249.878369703
u215,20,-20582.233101477
u215,21,-18906.14739841
u215,22,-17186.997036517
